"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,4,4162,282
2,16,9331,720
3,16,10599,978
4,27,10197,1113
5,21,8862,1227
6,19,7341,1093
7,28,5919,955
8,20,5199,862
9,22,4157,734
10,20,3389,617
11,15,2893,533
12,14,2378,430
13,7,1869,407
14,11,1647,340
15,5,1591,271
16,9,1265,227
17,13,1022,208
18,4,915,150
19,1,822,161
20,9,683,122
21,7,603,109
22,8,575,111
23,8,521,86
24,10,437,81
25,3,385,83
26,4,348,51
27,5,310,50
28,7,306,54
29,2,274,34
30,9,240,33
31,8,201,32
32,8,208,31
33,3,172,32
34,5,160,33
35,1,147,24
36,3,152,19
37,5,154,14
38,4,110,15
39,4,86,15
40,0,98,14
41,7,72,10
42,3,82,7
43,0,77,11
44,3,82,7
45,5,79,11
46,7,56,4
47,5,49,14
48,3,45,8
49,1,56,7
50,5,49,4
51,5,48,1
52,9,28,0
53,2,37,4
54,4,37,3
55,4,30,5
56,2,27,3
57,2,26,2
58,5,31,4
59,2,24,2
60,2,19,2
