"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,2,4647,318
2,25,10497,799
3,35,11866,1044
4,29,11326,1179
5,34,9829,1291
6,19,8089,1145
7,18,6576,1007
8,18,5812,915
9,16,4660,778
10,20,3791,670
11,15,3279,576
12,14,2701,469
13,10,2185,432
14,3,1942,361
15,8,1881,294
16,11,1525,250
17,4,1234,226
18,8,1075,170
19,8,998,177
20,3,836,140
21,4,722,129
22,7,690,120
23,8,611,99
24,7,504,90
25,2,473,92
26,10,436,62
27,4,374,57
28,1,365,65
29,2,329,37
30,10,288,37
31,4,236,38
32,4,254,36
33,7,221,37
34,7,192,40
35,1,183,27
36,4,188,24
37,1,183,16
38,6,137,17
39,1,101,18
40,3,122,18
41,1,91,11
42,1,99,11
43,2,96,13
44,5,104,8
45,7,89,12
46,3,69,7
47,4,59,14
48,2,54,9
49,1,68,7
50,3,59,4
51,6,61,2
52,2,40,0
53,4,47,5
54,2,47,4
55,2,41,5
56,1,36,5
57,2,34,3
58,1,32,6
59,1,31,3
60,0,23,3
