"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,16,3335,230
2,122,7367,623
3,117,8612,887
4,106,8500,1022
5,44,7495,1130
6,60,6197,1009
7,75,5055,875
8,43,4350,786
9,49,3476,655
10,50,2819,553
11,46,2385,466
12,30,1955,381
13,22,1520,356
14,25,1310,275
15,28,1222,228
16,22,947,190
17,16,769,178
18,17,693,133
19,15,602,136
20,10,480,98
21,24,434,95
22,24,430,94
23,7,372,65
24,14,327,67
25,10,257,64
26,8,234,41
27,7,223,37
28,11,228,44
29,10,186,30
30,3,173,25
31,11,143,26
32,7,137,23
33,7,111,25
34,3,113,25
35,8,97,23
36,8,100,17
37,7,102,10
38,3,81,10
39,5,55,12
40,2,74,11
41,3,47,9
42,6,62,5
43,2,54,8
44,6,60,5
45,4,45,6
46,5,45,4
47,3,42,14
48,4,29,7
49,3,35,4
50,5,41,4
51,4,33,1
52,3,14,0
53,3,26,4
54,2,28,3
55,1,23,3
56,1,19,1
57,0,15,1
58,7,21,2
59,5,16,1
60,1,13,1
