"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,5,3796,263
2,35,8497,684
3,37,9732,939
4,24,9466,1069
5,22,8300,1189
6,32,6858,1066
7,13,5522,915
8,28,4802,829
9,34,3868,699
10,25,3125,583
11,17,2661,511
12,17,2169,405
13,35,1694,381
14,22,1495,310
15,24,1418,256
16,11,1115,211
17,12,910,196
18,8,809,142
19,10,719,144
20,12,583,114
21,17,526,104
22,10,507,102
23,19,456,75
24,10,385,78
25,10,320,71
26,11,289,46
27,11,263,44
28,16,268,47
29,13,237,32
30,22,203,28
31,9,169,30
32,9,168,28
33,6,137,27
34,7,134,28
35,13,125,23
36,11,123,18
37,19,125,14
38,8,86,13
39,12,70,15
40,11,88,11
41,7,62,11
42,19,69,6
43,9,65,10
44,17,69,6
45,9,61,10
46,6,47,4
47,13,47,14
48,15,35,8
49,13,43,7
50,7,43,4
51,10,44,1
52,7,23,0
53,4,29,4
54,9,33,3
55,8,24,5
56,6,21,2
57,6,20,2
58,4,22,2
59,4,23,1
60,3,14,1
