"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,7,4071,276
2,28,9126,711
3,24,10401,969
4,42,10015,1101
5,34,8710,1213
6,45,7232,1087
7,47,5805,944
8,60,5082,852
9,33,4074,720
10,25,3314,609
11,31,2834,524
12,30,2319,418
13,34,1831,401
14,22,1610,332
15,36,1535,269
16,16,1212,224
17,21,987,202
18,16,879,147
19,23,784,157
20,16,650,119
21,21,582,109
22,27,546,108
23,15,498,82
24,11,421,80
25,12,363,75
26,14,326,49
27,8,292,49
28,15,296,51
29,8,260,34
30,4,232,30
31,4,197,31
32,7,193,28
33,16,162,30
34,10,152,32
35,9,140,24
36,6,141,18
37,6,148,14
38,5,102,14
39,5,82,15
40,6,96,14
41,2,70,10
42,3,78,7
43,6,74,10
44,4,75,7
45,2,72,10
46,3,53,4
47,2,50,13
48,3,42,8
49,1,53,6
50,0,44,4
51,0,46,1
52,1,25,0
53,0,33,4
54,1,37,3
55,3,30,6
56,2,26,3
57,1,23,2
58,2,30,3
59,0,23,2
60,1,16,2
