"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,13,4116,278
2,14,9231,716
3,25,10498,972
4,35,10130,1110
5,27,8788,1220
6,36,7292,1088
7,27,5860,949
8,24,5140,856
9,18,4123,728
10,17,3350,614
11,22,2861,527
12,25,2348,426
13,17,1849,408
14,19,1625,336
15,22,1563,269
16,18,1245,227
17,15,1003,203
18,10,895,148
19,4,809,160
20,9,668,120
21,15,594,109
22,18,560,110
23,9,509,83
24,7,432,80
25,18,377,79
26,10,337,50
27,9,305,50
28,7,299,53
29,14,267,34
30,12,235,31
31,7,200,32
32,8,205,29
33,7,168,31
34,7,157,33
35,11,142,24
36,16,145,19
37,6,150,14
38,5,105,15
39,7,85,15
40,4,96,14
41,5,72,11
42,7,81,7
43,3,74,11
44,2,81,8
45,3,77,10
46,2,55,4
47,10,51,14
48,6,43,8
49,3,54,7
50,3,45,4
51,4,48,1
52,4,26,0
53,3,35,4
54,3,38,3
55,1,28,5
56,2,28,3
57,3,25,2
58,4,29,4
59,1,24,2
60,3,16,2
