"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,22,3215,226
2,89,7103,612
3,114,8354,870
4,115,8295,1010
5,124,7305,1119
6,51,6054,993
7,57,4933,862
8,83,4265,774
9,75,3401,639
10,51,2757,535
11,54,2322,457
12,43,1909,375
13,32,1483,350
14,24,1272,270
15,27,1186,228
16,22,907,183
17,25,745,173
18,19,653,130
19,19,573,135
20,18,473,96
21,11,411,91
22,17,408,89
23,17,358,64
24,19,310,67
25,9,243,63
26,12,223,41
27,4,217,35
28,9,220,43
29,13,179,30
30,10,169,25
31,11,139,25
32,8,134,23
33,7,110,25
34,4,110,23
35,5,96,21
36,4,92,16
37,8,97,9
38,7,77,10
39,4,54,11
40,6,72,11
41,4,46,10
42,2,64,5
43,5,53,7
44,0,56,5
45,9,43,6
46,6,41,3
47,2,40,14
48,2,26,7
49,1,32,3
50,3,39,4
51,0,28,1
52,2,14,0
53,3,24,4
54,4,26,2
55,0,20,3
56,2,18,1
57,1,14,1
58,1,19,2
59,0,14,1
60,2,10,1
