"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,3,4460,303
2,30,10059,769
3,36,11419,1012
4,31,10882,1150
5,27,9445,1262
6,39,7781,1125
7,32,6306,981
8,25,5538,887
9,21,4458,756
10,19,3633,643
11,20,3122,562
12,13,2573,453
13,12,2047,422
14,10,1821,352
15,11,1761,284
16,16,1417,243
17,12,1159,220
18,7,1005,159
19,7,916,172
20,8,767,130
21,1,670,121
22,7,638,119
23,5,568,92
24,9,476,86
25,4,429,90
26,5,403,57
27,4,343,55
28,1,342,61
29,2,301,34
30,6,266,36
31,4,233,32
32,6,244,36
33,1,203,35
34,3,181,39
35,4,164,26
36,2,170,22
37,2,165,15
38,4,123,15
39,4,94,16
40,3,109,16
41,4,83,11
42,1,95,10
43,6,91,11
44,6,97,7
45,5,83,12
46,2,63,5
47,5,53,14
48,2,50,9
49,2,65,7
50,1,57,4
51,5,53,1
52,4,36,0
53,2,45,5
54,5,43,3
55,2,37,5
56,2,30,5
57,0,28,3
58,1,31,6
59,4,26,3
60,1,20,2
