"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,16,2263,186
2,69,5055,477
3,75,6245,674
4,46,6427,760
5,40,5690,846
6,45,4823,765
7,56,3825,668
8,44,3347,572
9,29,2606,476
10,32,2157,414
11,15,1764,329
12,10,1478,277
13,18,1112,264
14,13,948,200
15,10,867,167
16,13,676,127
17,9,547,131
18,5,503,99
19,8,433,96
20,9,352,78
21,5,282,61
22,1,291,62
23,6,269,44
24,4,222,46
25,1,168,41
26,3,140,33
27,1,157,24
28,1,160,32
29,2,116,21
30,5,122,18
31,5,89,19
32,0,91,14
33,1,86,18
34,1,72,18
35,3,72,14
36,1,59,13
37,2,63,6
38,0,46,6
39,0,37,8
40,2,54,9
41,0,39,6
42,2,42,2
43,2,34,3
44,0,39,5
45,1,35,6
46,1,35,3
47,0,24,9
48,3,20,2
49,1,30,2
50,0,23,3
51,0,22,1
52,0,10,0
53,0,15,3
54,0,22,2
55,0,14,2
56,1,12,1
57,0,10,1
58,0,12,1
59,2,12,1
60,0,6,1
