"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,13,2988,224
2,95,6634,594
3,134,7985,843
4,128,8048,999
5,66,7079,1092
6,71,5900,972
7,64,4779,851
8,43,4136,757
9,49,3304,633
10,42,2691,523
11,37,2257,451
12,27,1862,372
13,18,1452,344
14,30,1237,263
15,30,1155,225
16,18,867,182
17,13,720,172
18,19,636,129
19,6,560,133
20,15,457,93
21,13,397,90
22,10,395,89
23,12,351,62
24,11,293,64
25,12,238,61
26,7,210,40
27,4,213,33
28,6,213,41
29,3,170,27
30,13,164,24
31,8,132,24
32,5,130,22
33,5,105,24
34,2,103,23
35,7,92,21
36,3,92,16
37,6,84,8
38,4,70,10
39,4,53,11
40,1,69,11
41,5,44,9
42,1,54,4
43,1,51,6
44,2,54,6
45,1,41,6
46,4,44,3
47,1,38,13
48,2,25,7
49,5,33,3
50,2,34,4
51,3,30,1
52,4,15,0
53,4,24,4
54,0,26,2
55,4,20,3
56,2,18,1
57,3,14,1
58,2,17,2
59,3,14,1
60,2,9,1
