"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,12,4294,290
2,76,9668,741
3,61,10987,992
4,56,10535,1132
5,51,9107,1234
6,62,7515,1108
7,62,6086,965
8,51,5340,872
9,52,4283,742
10,33,3491,631
11,31,2973,539
12,52,2463,441
13,20,1936,418
14,26,1709,343
15,29,1648,277
16,28,1333,231
17,20,1077,210
18,15,941,154
19,18,862,163
20,18,718,122
21,17,632,117
22,13,591,114
23,18,548,87
24,13,451,83
25,3,399,84
26,11,367,52
27,4,325,52
28,12,318,56
29,11,283,34
30,6,249,35
31,6,211,32
32,2,222,31
33,6,178,33
34,6,170,35
35,6,151,26
36,4,158,20
37,3,156,14
38,2,115,15
39,2,89,15
40,9,104,14
41,5,76,10
42,4,87,8
43,6,79,12
44,2,85,8
45,1,77,11
46,2,58,5
47,3,50,14
48,2,45,8
49,2,59,7
50,3,50,4
51,3,48,1
52,1,30,0
53,1,39,4
54,1,40,3
55,2,36,5
56,0,29,4
57,1,27,3
58,0,31,4
59,1,26,2
60,0,19,2
