"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,5,2233,184
2,16,4989,472
3,23,6164,668
4,49,6352,756
5,37,5627,841
6,30,4781,757
7,34,3807,662
8,22,3312,567
9,21,2582,471
10,18,2139,408
11,8,1749,327
12,12,1472,276
13,12,1104,260
14,12,941,199
15,5,861,166
16,3,664,126
17,4,544,130
18,4,497,98
19,4,432,95
20,6,349,78
21,4,279,60
22,2,288,61
23,3,265,44
24,1,219,44
25,5,164,41
26,1,140,33
27,4,157,24
28,1,160,32
29,0,116,21
30,2,122,18
31,1,88,19
32,3,91,14
33,0,86,18
34,1,71,18
35,0,71,14
36,2,60,12
37,1,61,6
38,5,46,6
39,1,38,8
40,0,55,9
41,0,39,6
42,1,41,2
43,1,34,3
44,0,38,5
45,0,34,6
46,1,34,3
47,0,24,9
48,3,20,2
49,2,29,2
50,0,22,3
51,1,24,1
52,0,10,0
53,1,15,3
54,1,22,2
55,1,14,2
56,1,12,1
57,2,10,1
58,0,11,0
59,0,11,1
60,1,6,1
