"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,18,2476,201
2,165,5622,529
3,234,6898,751
4,205,7087,872
5,202,6232,970
6,131,5270,856
7,99,4220,757
8,124,3637,659
9,92,2871,552
10,82,2377,460
11,68,1951,382
12,74,1621,319
13,43,1224,296
14,34,1070,229
15,41,968,190
16,50,739,145
17,29,596,145
18,36,553,109
19,29,470,110
20,20,383,83
21,13,317,73
22,20,327,75
23,17,295,55
24,21,248,55
25,7,190,47
26,17,161,36
27,6,177,27
28,5,173,37
29,10,135,24
30,8,132,19
31,7,101,22
32,8,98,16
33,10,92,22
34,7,85,19
35,3,75,16
36,3,65,16
37,3,66,7
38,3,53,7
39,3,40,9
40,4,62,10
41,2,43,7
42,4,42,4
43,6,37,4
44,3,44,6
45,2,35,6
46,3,35,3
47,3,29,10
48,2,22,2
49,1,31,2
50,6,28,3
51,2,23,1
52,1,10,0
53,2,17,3
54,1,22,2
55,2,16,2
56,2,13,1
57,1,14,1
58,3,12,1
59,1,12,1
60,0,9,1
