"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,8,4011,273
2,57,8973,706
3,58,10266,960
4,53,9898,1095
5,71,8607,1205
6,57,7122,1082
7,47,5735,938
8,54,5014,843
9,55,4013,718
10,38,3263,597
11,33,2789,522
12,23,2280,412
13,37,1799,396
14,24,1578,327
15,26,1512,264
16,21,1194,221
17,14,970,201
18,18,867,143
19,18,766,151
20,26,640,118
21,16,559,109
22,16,535,108
23,22,487,80
24,11,411,80
25,10,353,76
26,20,319,48
27,11,287,48
28,4,293,50
29,7,255,33
30,6,224,29
31,6,192,31
32,3,187,28
33,2,156,29
34,5,148,32
35,5,139,23
36,3,140,18
37,1,139,14
38,0,99,14
39,1,82,15
40,2,91,14
41,2,70,10
42,3,76,7
43,2,72,11
44,3,73,7
45,4,71,10
46,0,52,3
47,2,49,13
48,1,38,8
49,3,51,8
50,2,45,4
51,4,44,1
52,3,25,0
53,1,33,4
54,1,35,3
55,0,29,6
56,1,27,3
57,4,22,2
58,2,29,3
59,1,23,2
60,1,14,2
