"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,4,4355,294
2,40,9802,755
3,60,11152,998
4,39,10676,1137
5,57,9256,1247
6,44,7627,1113
7,48,6164,969
8,51,5421,880
9,42,4358,749
10,23,3543,634
11,21,3024,547
12,24,2501,445
13,22,1987,420
14,25,1748,346
15,27,1702,281
16,22,1368,236
17,15,1107,213
18,18,972,157
19,20,881,169
20,10,738,127
21,13,648,119
22,8,613,116
23,14,554,89
24,9,461,86
25,9,407,87
26,14,379,55
27,3,330,55
28,11,326,57
29,8,286,34
30,9,255,35
31,3,212,32
32,3,228,32
33,6,185,34
34,7,170,36
35,9,154,26
36,8,160,21
37,12,160,15
38,5,117,15
39,1,89,15
40,5,104,14
41,1,78,11
42,5,90,8
43,6,84,11
44,3,93,7
45,5,78,11
46,0,60,5
47,1,50,13
48,3,46,9
49,3,61,7
50,2,53,4
51,1,48,1
52,1,31,0
53,1,40,4
54,9,40,3
55,5,37,6
56,3,31,4
57,2,27,3
58,3,30,4
59,2,27,2
60,1,19,2
