"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,4,3818,263
2,19,8529,685
3,37,9769,941
4,25,9511,1074
5,19,8327,1192
6,22,6891,1068
7,20,5546,924
8,19,4827,833
9,20,3891,701
10,21,3140,585
11,17,2678,510
12,9,2182,407
13,13,1706,380
14,10,1513,310
15,8,1427,258
16,9,1125,211
17,10,916,197
18,10,820,142
19,7,724,144
20,8,603,114
21,12,532,107
22,13,510,103
23,11,461,77
24,5,386,79
25,5,322,71
26,2,292,47
27,4,270,45
28,4,275,47
29,8,239,32
30,4,205,28
31,12,170,30
32,7,171,28
33,6,143,27
34,5,135,30
35,5,125,23
36,7,125,18
37,8,131,14
38,11,88,13
39,0,73,15
40,2,89,12
41,3,65,11
42,7,69,6
43,8,68,10
44,9,69,6
45,15,66,10
46,5,49,4
47,9,48,14
48,11,34,8
49,6,43,7
50,15,43,4
51,8,44,1
52,11,24,0
53,8,28,4
54,4,31,3
55,8,25,5
56,15,25,2
57,9,21,2
58,5,23,2
59,9,25,2
60,5,13,1
