"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,7,3676,251
2,70,8196,669
3,95,9422,922
4,126,9155,1048
5,101,7988,1165
6,126,6642,1050
7,55,5361,900
8,63,4648,813
9,80,3710,684
10,68,3024,568
11,79,2557,495
12,58,2073,396
13,61,1615,374
14,35,1414,297
15,32,1324,244
16,40,1034,200
17,44,846,188
18,36,758,137
19,37,666,140
20,29,533,107
21,16,476,100
22,15,477,101
23,22,422,73
24,25,357,71
25,14,291,71
26,15,262,44
27,15,247,39
28,8,246,46
29,6,208,32
30,9,189,28
31,7,155,30
32,12,150,24
33,7,119,25
34,10,126,25
35,7,107,22
36,9,115,18
37,9,113,14
38,3,83,13
39,6,62,15
40,7,80,11
41,1,52,10
42,5,63,5
43,4,62,9
44,3,66,6
45,3,52,8
46,2,44,4
47,2,42,14
48,3,34,8
49,2,39,5
50,3,39,4
51,7,40,1
52,5,19,0
53,0,28,4
54,3,29,2
55,6,22,4
56,1,20,2
57,1,20,1
58,5,20,2
59,1,19,1
60,1,12,1
