"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,5,4796,330
2,34,10851,820
3,64,12257,1068
4,54,11688,1193
5,47,10124,1309
6,62,8325,1164
7,53,6757,1022
8,58,5988,932
9,57,4821,792
10,42,3931,680
11,25,3393,584
12,27,2808,478
13,35,2274,445
14,25,2005,368
15,22,1960,303
16,27,1583,253
17,36,1296,227
18,17,1124,176
19,16,1036,186
20,22,870,142
21,10,751,129
22,22,720,121
23,11,635,104
24,14,522,93
25,6,493,92
26,4,449,63
27,10,389,60
28,6,387,67
29,8,337,38
30,4,292,39
31,8,243,41
32,7,271,37
33,1,232,39
34,5,201,42
35,7,191,28
36,4,200,25
37,3,187,16
38,7,141,17
39,1,107,20
40,1,133,19
41,4,97,12
42,6,112,12
43,4,99,15
44,3,106,8
45,3,93,12
46,1,69,7
47,3,63,14
48,1,55,9
49,3,66,9
50,2,62,4
51,4,60,2
52,2,42,0
53,0,47,5
54,1,52,4
55,2,44,6
56,1,35,5
57,3,36,3
58,3,36,6
59,3,33,3
60,0,25,3
