"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,4,2131,177
2,41,4733,464
3,39,5886,654
4,36,6054,735
5,47,5393,819
6,34,4555,733
7,42,3647,646
8,24,3152,540
9,17,2458,458
10,9,2050,401
11,10,1682,314
12,12,1403,258
13,8,1059,250
14,11,913,186
15,9,809,155
16,6,644,122
17,7,530,126
18,4,476,95
19,5,417,93
20,4,328,74
21,3,261,57
22,5,277,61
23,2,257,43
24,3,211,41
25,9,153,36
26,7,131,33
27,2,148,24
28,3,152,32
29,1,112,21
30,5,115,17
31,2,81,18
32,3,85,14
33,2,79,17
34,0,68,16
35,0,67,13
36,2,58,12
37,0,58,6
38,0,45,6
39,1,36,7
40,1,54,9
41,0,37,6
42,1,38,2
43,0,33,3
44,2,38,4
45,0,33,6
46,0,31,3
47,0,24,9
48,1,18,2
49,0,28,2
50,1,20,3
51,0,22,1
52,0,10,0
53,0,14,3
54,0,20,2
55,0,13,2
56,0,12,1
57,0,10,1
58,0,11,0
59,0,9,1
60,0,7,1
