"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,2,4165,282
2,20,9339,721
3,24,10604,979
4,18,10204,1113
5,23,8865,1228
6,18,7346,1093
7,17,5919,955
8,20,5202,862
9,16,4155,734
10,20,3391,616
11,19,2898,533
12,13,2380,430
13,14,1874,408
14,7,1651,340
15,9,1593,271
16,4,1265,227
17,7,1024,207
18,12,914,150
19,5,821,162
20,2,683,122
21,9,607,109
22,7,576,111
23,6,523,86
24,7,437,81
25,9,384,83
26,3,349,52
27,4,309,51
28,5,305,54
29,7,274,34
30,2,240,33
31,8,200,32
32,8,209,31
33,6,172,32
34,3,159,33
35,6,149,24
36,1,151,20
37,3,152,14
38,5,112,15
39,3,86,15
40,4,98,14
41,0,72,10
42,7,82,7
43,3,77,10
44,0,83,7
45,3,78,11
46,5,55,4
47,7,51,13
48,5,43,8
49,3,57,7
50,1,49,4
51,5,48,1
52,5,29,0
53,9,36,4
54,2,39,3
55,4,29,6
56,4,27,3
57,2,27,2
58,2,29,4
59,5,25,2
60,2,18,2
