"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,13,3049,224
2,97,6749,599
3,80,8093,848
4,107,8115,1001
5,89,7134,1102
6,82,5914,975
7,85,4807,852
8,65,4161,762
9,51,3324,634
10,46,2708,528
11,41,2264,451
12,25,1874,375
13,36,1454,344
14,30,1242,264
15,30,1158,225
16,20,884,182
17,14,727,172
18,26,638,129
19,17,563,133
20,15,457,93
21,14,399,90
22,16,394,89
23,7,349,62
24,10,295,65
25,14,241,62
26,11,216,38
27,11,214,36
28,10,215,42
29,11,172,27
30,6,161,24
31,3,134,24
32,6,132,22
33,2,105,24
34,10,107,23
35,8,91,21
36,5,90,16
37,5,87,8
38,1,71,10
39,7,56,11
40,2,73,11
41,4,42,9
42,4,57,4
43,4,51,7
44,0,54,6
45,3,42,6
46,1,41,3
47,1,38,12
48,2,27,7
49,1,32,3
50,4,39,4
51,1,29,1
52,2,14,0
53,4,24,4
54,1,26,2
55,3,22,4
56,4,19,1
57,4,14,1
58,0,18,2
59,4,14,1
60,2,9,1
