"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,8,2139,177
2,17,4768,466
3,33,5913,656
4,47,6076,736
5,36,5418,821
6,32,4584,735
7,37,3661,648
8,26,3171,544
9,20,2471,458
10,17,2056,403
11,17,1683,314
12,16,1412,259
13,11,1061,251
14,8,915,187
15,7,807,155
16,8,646,123
17,6,532,126
18,4,478,95
19,10,419,93
20,3,329,75
21,4,263,57
22,4,279,61
23,3,261,44
24,3,212,41
25,2,153,36
26,1,133,33
27,3,147,24
28,2,153,32
29,4,112,21
30,4,115,17
31,4,81,19
32,1,86,14
33,2,80,17
34,1,68,17
35,3,67,13
36,2,59,12
37,2,58,6
38,0,46,6
39,0,36,7
40,0,53,9
41,2,37,6
42,0,39,2
43,0,32,3
44,0,38,4
45,1,34,6
46,0,31,3
47,0,24,9
48,0,19,2
49,2,28,2
50,0,20,3
51,0,21,1
52,0,10,0
53,1,14,3
54,0,20,2
55,0,13,2
56,0,13,1
57,0,10,1
58,0,11,0
59,0,9,1
60,0,6,1
