"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,15,3102,225
2,111,6847,602
3,105,8168,857
4,105,8171,1004
5,88,7181,1106
6,53,5956,980
7,76,4847,856
8,48,4192,763
9,49,3351,633
10,48,2732,531
11,39,2281,454
12,33,1884,374
13,28,1462,343
14,28,1253,264
15,23,1163,225
16,23,889,181
17,23,732,172
18,26,645,129
19,7,565,134
20,10,464,95
21,22,404,90
22,12,395,89
23,12,354,62
24,12,298,66
25,13,243,61
26,6,213,39
27,12,216,36
28,9,216,43
29,11,177,27
30,10,167,24
31,7,133,24
32,8,132,23
33,6,104,24
34,4,110,23
35,5,93,20
36,2,90,17
37,9,93,8
38,8,73,10
39,4,56,11
40,2,70,11
41,0,44,9
42,4,61,4
43,1,51,7
44,1,54,5
45,3,43,6
46,4,42,2
47,0,38,13
48,3,26,7
49,1,32,4
50,1,38,4
51,0,28,1
52,2,14,0
53,3,27,4
54,1,26,2
55,1,20,3
56,4,19,1
57,1,15,1
58,2,19,2
59,4,15,1
60,4,9,1
