"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,1,4450,302
2,25,10040,768
3,30,11394,1012
4,36,10854,1147
5,36,9414,1253
6,26,7751,1125
7,19,6285,981
8,19,5514,886
9,23,4442,755
10,21,3616,642
11,22,3108,558
12,20,2564,452
13,10,2036,422
14,8,1810,351
15,16,1756,284
16,5,1410,242
17,8,1153,218
18,8,1001,159
19,11,911,172
20,6,764,130
21,5,667,121
22,5,638,118
23,2,568,92
24,4,475,86
25,6,425,89
26,5,400,56
27,7,344,55
28,1,343,61
29,2,300,34
30,9,268,35
31,3,227,33
32,2,236,35
33,5,198,35
34,5,181,38
35,4,166,26
36,4,169,22
37,1,166,15
38,7,123,15
39,6,94,16
40,5,110,15
41,4,82,11
42,5,94,10
43,3,90,12
44,2,97,7
45,0,81,12
46,5,63,5
47,4,53,14
48,2,50,9
49,5,63,7
50,3,57,4
51,2,52,1
52,0,34,0
53,1,45,5
54,4,41,3
55,1,36,5
56,3,31,5
57,7,30,3
58,0,32,6
59,4,27,3
60,1,20,2
