"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,10,2868,222
2,83,6404,586
3,92,7827,840
4,103,7928,996
5,50,7015,1089
6,46,5851,967
7,46,4732,845
8,49,4105,754
9,39,3280,626
10,14,2674,519
11,19,2240,447
12,14,1851,370
13,17,1437,344
14,18,1226,262
15,11,1142,224
16,20,860,177
17,12,715,170
18,11,632,128
19,6,555,132
20,4,453,93
21,13,394,88
22,5,387,89
23,15,346,62
24,13,291,63
25,5,237,61
26,6,210,39
27,2,206,33
28,13,210,41
29,5,170,27
30,6,162,24
31,4,133,24
32,3,123,21
33,3,107,24
34,8,104,23
35,2,89,19
36,0,88,16
37,5,84,8
38,3,67,10
39,4,55,11
40,1,68,11
41,2,41,8
42,4,52,4
43,4,51,6
44,3,54,6
45,4,43,6
46,5,40,3
47,0,36,12
48,4,24,4
49,3,32,3
50,3,33,4
51,3,28,1
52,3,14,0
53,3,23,3
54,3,25,2
55,2,20,3
56,3,19,1
57,2,14,1
58,2,16,2
59,6,15,1
60,8,9,1
