"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,2,3358,231
2,65,7409,625
3,101,8648,889
4,121,8535,1023
5,96,7515,1130
6,92,6214,1010
7,40,5079,877
8,44,4365,785
9,47,3475,656
10,28,2824,553
11,43,2392,468
12,43,1959,381
13,43,1522,357
14,24,1312,276
15,18,1235,228
16,22,949,190
17,21,770,178
18,22,690,133
19,16,599,136
20,16,487,98
21,11,439,95
22,7,430,94
23,22,375,65
24,20,328,67
25,6,256,64
26,12,236,41
27,10,226,37
28,7,229,44
29,7,187,30
30,10,174,25
31,10,144,26
32,4,138,23
33,9,110,25
34,6,114,25
35,6,100,23
36,2,99,17
37,8,99,10
38,9,81,11
39,6,58,12
40,3,74,11
41,5,49,9
42,2,63,5
43,3,55,8
44,5,61,6
45,1,44,6
46,5,42,4
47,3,40,13
48,5,30,7
49,3,38,4
50,4,39,4
51,4,31,1
52,5,18,0
53,4,28,4
54,3,27,2
55,2,21,4
56,2,19,2
57,1,18,1
58,1,21,2
59,0,15,1
60,7,12,1
