"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,6,4720,326
2,36,10626,812
3,56,12004,1055
4,90,11459,1188
5,39,9931,1302
6,46,8158,1151
7,41,6629,1013
8,41,5880,921
9,31,4720,784
10,36,3836,671
11,37,3335,580
12,15,2730,474
13,19,2215,437
14,18,1960,365
15,18,1903,298
16,12,1545,252
17,12,1250,226
18,26,1091,173
19,4,1018,181
20,7,853,141
21,13,732,129
22,12,705,120
23,10,625,101
24,12,508,91
25,11,481,92
26,3,441,62
27,5,374,60
28,5,377,65
29,5,336,37
30,9,289,37
31,5,238,39
32,6,258,36
33,5,224,37
34,1,199,41
35,3,187,27
36,0,194,24
37,3,187,16
38,3,139,17
39,6,107,19
40,1,127,19
41,0,95,12
42,4,105,11
43,4,98,15
44,2,104,8
45,2,93,12
46,2,68,8
47,3,58,14
48,0,55,9
49,0,66,7
50,5,63,4
51,3,60,2
52,3,42,0
53,3,48,5
54,4,47,4
55,1,43,6
56,2,36,5
57,0,31,3
58,7,33,6
59,1,32,3
60,2,26,3
