"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,4,4116,277
2,24,9222,716
3,43,10490,972
4,32,10111,1109
5,30,8783,1219
6,20,7284,1089
7,21,5861,949
8,25,5136,856
9,24,4119,728
10,21,3345,612
11,19,2858,527
12,22,2345,426
13,23,1847,408
14,18,1622,335
15,12,1557,269
16,8,1244,227
17,11,1000,204
18,18,896,148
19,20,811,159
20,10,666,120
21,8,591,109
22,19,557,109
23,10,508,83
24,12,430,80
25,9,375,77
26,15,336,50
27,12,304,50
28,8,299,53
29,7,267,34
30,7,236,30
31,7,200,32
32,12,203,29
33,18,165,31
34,6,156,33
35,5,142,24
36,7,146,19
37,4,150,14
38,5,104,15
39,8,84,15
40,4,95,14
41,2,71,10
42,2,79,7
43,2,74,10
44,9,79,7
45,8,78,10
46,3,54,4
47,3,50,13
48,4,41,8
49,5,54,7
50,3,48,4
51,4,47,1
52,2,26,0
53,2,33,4
54,4,37,3
55,4,29,6
56,1,27,3
57,3,25,2
58,0,28,3
59,2,25,2
60,1,16,2
