"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,5,4263,288
2,64,9574,737
3,58,10903,986
4,53,10449,1131
5,77,9056,1230
6,55,7476,1106
7,54,6041,961
8,47,5289,871
9,50,4239,740
10,32,3460,629
11,30,2952,536
12,34,2435,438
13,27,1919,414
14,25,1690,343
15,28,1629,275
16,26,1315,230
17,21,1063,210
18,10,922,153
19,18,848,164
20,10,712,122
21,12,628,114
22,13,588,114
23,6,539,87
24,9,446,82
25,4,395,84
26,9,365,52
27,6,321,51
28,3,313,56
29,6,279,34
30,2,247,34
31,5,210,32
32,2,219,31
33,7,177,33
34,5,169,35
35,6,153,26
36,3,156,20
37,5,154,14
38,1,114,15
39,1,88,15
40,4,101,14
41,2,76,11
42,2,84,8
43,2,78,11
44,1,85,8
45,1,77,11
46,1,58,5
47,2,51,14
48,2,45,8
49,0,58,7
50,1,50,4
51,2,51,1
52,0,32,0
53,0,36,4
54,1,38,3
55,2,34,5
56,0,29,4
57,1,28,3
58,1,30,4
59,0,24,2
60,0,19,2
