"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,31,2468,201
2,245,5602,528
3,241,6874,747
4,234,7044,869
5,155,6215,968
6,112,5262,856
7,151,4199,754
8,112,3627,657
9,94,2857,550
10,79,2370,460
11,77,1944,380
12,53,1615,319
13,37,1220,294
14,45,1068,228
15,53,962,189
16,33,740,144
17,39,596,144
18,27,548,109
19,21,468,110
20,14,381,83
21,23,315,72
22,17,327,75
23,22,298,55
24,8,245,55
25,20,189,47
26,8,159,36
27,6,175,27
28,11,173,37
29,6,135,24
30,8,133,19
31,10,97,22
32,12,97,15
33,5,93,22
34,5,80,18
35,3,75,16
36,3,65,16
37,3,65,7
38,5,54,7
39,4,40,9
40,2,62,10
41,4,41,7
42,8,41,4
43,3,37,4
44,2,44,6
45,3,36,6
46,3,34,3
47,2,29,10
48,1,23,2
49,6,31,2
50,2,27,3
51,1,23,1
52,2,11,0
53,1,16,3
54,2,22,2
55,2,16,2
56,1,15,1
57,3,12,1
58,1,12,1
59,0,13,1
60,0,8,1
