"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,26,2514,208
2,234,5665,541
3,234,7015,773
4,147,7170,902
5,137,6346,997
6,138,5355,883
7,116,4284,770
8,124,3692,677
9,87,2923,565
10,117,2417,471
11,58,1994,387
12,43,1647,324
13,56,1257,306
14,53,1097,231
15,41,993,193
16,32,756,149
17,39,613,152
18,26,562,112
19,15,480,112
20,24,389,85
21,29,330,73
22,15,334,75
23,19,303,58
24,16,247,55
25,14,195,50
26,9,167,37
27,17,181,29
28,9,178,37
29,15,137,26
30,7,134,19
31,14,105,23
32,3,100,17
33,2,91,22
34,7,90,20
35,4,75,16
36,4,67,16
37,8,70,7
38,7,54,7
39,4,40,10
40,2,62,10
41,4,41,7
42,1,43,4
43,1,37,4
44,5,49,6
45,4,37,6
46,1,37,3
47,4,29,10
48,3,21,2
49,2,31,2
50,2,27,3
51,2,25,1
52,2,12,0
53,2,17,3
54,0,24,2
55,6,16,2
56,2,14,1
57,0,12,1
58,1,14,1
59,1,14,1
60,2,8,1
