"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,7,2103,175
2,52,4650,462
3,46,5798,652
4,55,5967,731
5,51,5296,813
6,40,4495,726
7,34,3587,639
8,41,3109,534
9,20,2425,456
10,23,2020,400
11,27,1645,310
12,11,1378,256
13,13,1043,247
14,10,896,181
15,8,801,151
16,5,632,121
17,9,526,126
18,4,468,95
19,1,411,93
20,0,324,74
21,4,258,57
22,0,272,60
23,2,255,42
24,1,209,41
25,5,149,36
26,3,128,32
27,1,145,23
28,0,153,32
29,1,112,21
30,1,113,17
31,0,80,17
32,0,84,14
33,0,77,17
34,0,69,16
35,1,67,13
36,0,59,12
37,0,57,6
38,0,45,6
39,1,35,7
40,0,54,9
41,0,36,6
42,0,38,2
43,0,32,3
44,0,37,4
45,0,34,6
46,0,30,3
47,1,25,9
48,1,18,2
49,0,28,2
50,1,20,3
51,0,21,1
52,2,10,0
53,0,14,3
54,0,20,2
55,0,13,2
56,0,12,1
57,0,11,1
58,1,11,0
59,0,9,1
60,2,6,1
