"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,4,2107,176
2,49,4681,464
3,48,5832,652
4,38,5993,735
5,45,5326,815
6,24,4515,728
7,23,3610,640
8,29,3134,538
9,21,2436,457
10,23,2032,400
11,12,1656,310
12,14,1389,257
13,12,1049,249
14,11,901,182
15,16,804,153
16,3,637,121
17,7,527,126
18,2,468,95
19,5,413,93
20,3,324,74
21,6,258,57
22,1,276,60
23,1,255,42
24,0,209,41
25,3,149,36
26,0,131,33
27,1,145,24
28,2,152,32
29,2,113,21
30,1,113,17
31,1,80,17
32,0,85,14
33,1,77,17
34,1,68,16
35,0,67,13
36,0,58,12
37,0,58,6
38,0,45,6
39,1,35,7
40,0,55,9
41,0,36,6
42,0,38,2
43,1,32,3
44,0,38,4
45,0,33,6
46,0,30,3
47,0,24,9
48,0,18,2
49,0,29,2
50,0,20,3
51,0,22,1
52,1,10,0
53,0,14,3
54,1,20,2
55,0,13,2
56,2,12,1
57,0,10,1
58,0,11,0
59,0,9,1
60,0,6,1
