"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,3,3893,266
2,31,8681,692
3,46,9946,953
4,43,9655,1081
5,18,8440,1198
6,36,6969,1075
7,25,5627,930
8,23,4908,842
9,25,3939,709
10,19,3192,593
11,8,2719,513
12,14,2221,409
13,14,1726,387
14,13,1543,315
15,10,1455,262
16,7,1147,215
17,10,940,200
18,9,842,142
19,3,740,147
20,5,619,116
21,5,545,107
22,4,522,105
23,8,475,78
24,6,397,79
25,4,330,73
26,1,304,48
27,7,279,46
28,2,283,49
29,5,246,33
30,2,214,28
31,6,181,30
32,3,183,28
33,1,147,27
34,1,140,31
35,3,133,23
36,2,135,18
37,3,135,14
38,4,92,14
39,3,78,15
40,0,88,14
41,3,67,10
42,2,76,7
43,2,71,10
44,4,68,7
45,3,69,10
46,0,50,4
47,3,50,14
48,1,35,8
49,5,50,7
50,3,44,4
51,0,45,1
52,1,24,0
53,2,32,4
54,1,35,3
55,1,27,5
56,3,24,3
57,1,23,2
58,1,28,3
59,1,24,2
60,0,15,2
