"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,8,2222,184
2,25,4954,472
3,46,6127,665
4,20,6305,751
5,20,5610,839
6,19,4743,754
7,17,3782,662
8,11,3286,562
9,14,2565,470
10,8,2129,408
11,7,1740,326
12,7,1464,275
13,9,1098,258
14,8,933,197
15,3,850,164
16,4,662,126
17,4,546,130
18,1,495,97
19,1,429,95
20,2,346,78
21,5,276,59
22,1,286,61
23,1,263,44
24,2,219,44
25,5,166,41
26,1,139,33
27,5,157,24
28,1,161,32
29,0,115,21
30,0,121,18
31,2,87,19
32,0,89,14
33,0,85,18
34,0,70,18
35,1,71,14
36,0,58,12
37,5,60,6
38,2,46,6
39,0,37,8
40,1,56,9
41,1,38,6
42,1,40,2
43,0,34,3
44,1,38,5
45,1,33,6
46,3,33,3
47,0,24,9
48,0,20,2
49,0,29,2
50,1,22,3
51,0,22,1
52,0,10,0
53,1,16,3
54,0,23,2
55,0,16,2
56,0,12,1
57,2,10,1
58,0,11,0
59,1,12,1
60,0,6,1
