"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,5,4389,295
2,34,9896,759
3,33,11221,999
4,52,10706,1142
5,44,9289,1247
6,33,7656,1113
7,45,6181,971
8,37,5440,881
9,41,4386,750
10,41,3547,636
11,31,3039,550
12,14,2512,448
13,20,1987,419
14,19,1755,346
15,19,1714,281
16,17,1377,238
17,21,1115,214
18,21,973,157
19,10,881,169
20,18,748,127
21,18,648,119
22,9,616,117
23,11,559,89
24,7,461,86
25,13,408,87
26,6,381,57
27,7,332,55
28,13,332,58
29,3,287,34
30,9,254,35
31,8,216,32
32,8,229,32
33,4,188,34
34,3,173,36
35,4,158,26
36,7,159,21
37,10,161,15
38,8,119,15
39,11,90,16
40,5,103,14
41,1,80,11
42,4,90,10
43,1,84,11
44,5,94,7
45,5,79,11
46,2,61,5
47,5,50,13
48,0,46,9
49,1,62,7
50,2,54,4
51,2,48,1
52,2,32,0
53,1,41,5
54,1,40,3
55,1,36,6
56,8,31,4
57,5,28,3
58,3,30,4
59,2,26,2
60,3,21,2
