"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,5,2194,182
2,19,4907,470
3,23,6076,664
4,21,6245,747
5,32,5562,836
6,26,4697,748
7,20,3750,662
8,16,3260,558
9,19,2543,467
10,17,2108,408
11,14,1726,324
12,11,1446,273
13,13,1091,258
14,7,929,194
15,8,840,163
16,5,657,125
17,6,541,128
18,1,489,96
19,3,426,95
20,13,341,78
21,5,269,59
22,7,284,61
23,2,261,44
24,0,216,43
25,3,161,41
26,2,138,33
27,2,154,24
28,4,161,32
29,3,115,21
30,3,119,17
31,4,85,19
32,2,86,14
33,0,84,18
34,0,70,17
35,2,70,14
36,1,58,12
37,2,59,6
38,2,47,6
39,0,38,7
40,0,55,9
41,1,37,6
42,2,39,2
43,0,34,3
44,1,39,5
45,1,34,6
46,1,32,3
47,1,23,9
48,0,20,2
49,1,29,2
50,0,22,3
51,0,23,1
52,0,10,0
53,0,14,3
54,1,22,2
55,0,14,2
56,0,12,1
57,1,10,1
58,0,11,0
59,3,10,1
60,2,6,1
