"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,10,4578,311
2,41,10361,789
3,39,11723,1036
4,45,11187,1168
5,47,9684,1280
6,39,7991,1136
7,42,6474,997
8,48,5705,903
9,29,4568,768
10,14,3716,658
11,33,3214,573
12,44,2656,461
13,26,2133,426
14,26,1894,358
15,21,1824,289
16,9,1472,245
17,17,1202,223
18,24,1041,164
19,14,965,177
20,16,805,134
21,11,692,125
22,14,666,120
23,12,593,95
24,5,490,86
25,14,460,91
26,6,410,59
27,15,357,57
28,8,356,63
29,11,322,36
30,9,274,36
31,2,236,35
32,6,246,36
33,5,211,35
34,2,184,39
35,6,173,26
36,3,181,22
37,2,173,15
38,2,128,16
39,5,98,17
40,1,113,16
41,5,85,11
42,6,96,11
43,3,91,11
44,1,99,9
45,1,86,12
46,0,65,6
47,0,55,14
48,4,52,9
49,4,66,7
50,2,58,4
51,1,55,1
52,2,40,0
53,1,47,5
54,1,44,3
55,1,38,5
56,1,34,5
57,4,30,3
58,2,32,6
59,0,31,3
60,0,24,2
