"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,3,4424,300
2,25,9980,763
3,38,11319,1007
4,28,10786,1147
5,38,9361,1252
6,19,7710,1116
7,26,6249,975
8,16,5484,884
9,19,4417,754
10,9,3589,641
11,20,3085,555
12,19,2534,451
13,17,2021,419
14,5,1788,349
15,8,1742,282
16,14,1394,239
17,13,1141,218
18,10,995,159
19,16,907,171
20,8,755,129
21,8,664,121
22,10,633,118
23,3,564,92
24,13,471,85
25,13,421,88
26,10,390,56
27,6,337,56
28,7,335,59
29,6,296,34
30,5,262,35
31,3,222,33
32,6,234,33
33,5,198,34
34,4,176,36
35,5,161,26
36,7,167,21
37,4,164,15
38,1,119,15
39,1,92,16
40,6,106,15
41,3,80,11
42,4,91,10
43,7,90,12
44,0,94,8
45,6,79,12
46,2,61,5
47,4,53,14
48,3,48,9
49,3,65,7
50,1,55,4
51,6,49,1
52,8,33,0
53,2,43,5
54,9,41,3
55,5,36,5
56,0,32,5
57,1,26,3
58,1,32,5
59,3,29,2
60,4,21,2
