"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,5,4485,304
2,23,10120,771
3,51,11483,1017
4,29,10944,1153
5,44,9484,1264
6,28,7826,1127
7,21,6335,982
8,32,5585,889
9,27,4465,759
10,15,3645,647
11,23,3139,561
12,15,2590,455
13,11,2061,421
14,15,1832,353
15,17,1770,284
16,14,1431,243
17,17,1161,219
18,15,1014,159
19,8,931,174
20,10,771,131
21,5,670,121
22,8,640,119
23,3,575,93
24,7,481,85
25,10,437,89
26,4,405,58
27,2,344,55
28,3,345,61
29,2,305,34
30,0,267,36
31,1,230,33
32,3,241,36
33,5,206,35
34,3,181,39
35,2,165,26
36,1,174,22
37,0,167,15
38,2,122,15
39,2,94,16
40,1,111,16
41,2,87,11
42,0,94,10
43,2,89,11
44,3,97,9
45,2,83,12
46,1,63,5
47,2,52,14
48,2,51,9
49,2,65,7
50,3,59,4
51,1,56,1
52,5,36,0
53,4,46,5
54,4,43,3
55,1,37,5
56,4,33,5
57,1,28,3
58,2,33,6
59,0,29,3
60,4,22,2
