"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,3,2230,184
2,22,4958,473
3,27,6133,665
4,29,6316,752
5,31,5613,839
6,32,4761,755
7,18,3789,662
8,14,3294,562
9,11,2572,470
10,11,2132,408
11,5,1741,326
12,11,1467,275
13,8,1098,259
14,2,936,198
15,5,852,164
16,7,661,126
17,6,544,130
18,2,495,98
19,4,431,95
20,2,348,78
21,0,275,60
22,1,287,61
23,2,264,44
24,5,220,44
25,0,163,41
26,0,140,33
27,1,156,24
28,3,163,32
29,1,114,21
30,5,122,18
31,1,88,19
32,1,91,14
33,0,85,18
34,1,70,18
35,0,71,14
36,0,58,12
37,0,61,6
38,1,46,6
39,0,37,8
40,4,54,9
41,3,39,6
42,0,41,2
43,1,36,3
44,0,38,5
45,1,33,6
46,0,34,3
47,1,24,9
48,1,20,2
49,2,29,2
50,0,22,3
51,0,22,1
52,0,10,0
53,1,15,3
54,0,22,2
55,0,14,2
56,1,13,1
57,0,11,1
58,0,13,0
59,0,11,1
60,2,6,1
