"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,24,3325,230
2,106,7334,623
3,122,8592,886
4,59,8493,1021
5,70,7490,1130
6,87,6185,1009
7,48,5048,875
8,50,4344,784
9,54,3470,654
10,55,2813,552
11,33,2382,466
12,25,1954,379
13,31,1513,353
14,33,1310,275
15,22,1218,228
16,20,939,189
17,18,775,177
18,17,691,133
19,12,593,135
20,25,483,98
21,26,432,95
22,9,427,94
23,19,369,64
24,13,328,67
25,9,255,64
26,7,232,42
27,11,223,37
28,10,228,44
29,3,185,30
30,11,173,25
31,7,144,26
32,7,138,23
33,3,110,25
34,9,113,25
35,10,98,22
36,8,97,17
37,3,97,10
38,6,80,10
39,2,55,12
40,4,73,11
41,6,48,9
42,1,61,5
43,6,55,7
44,4,60,5
45,5,47,6
46,3,44,4
47,4,41,14
48,3,27,7
49,5,39,4
50,4,38,4
51,3,31,1
52,3,15,0
53,3,26,5
54,1,30,2
55,1,21,3
56,0,18,1
57,7,16,1
58,6,23,2
59,1,16,1
60,2,11,1
