"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,10,2096,175
2,61,4623,462
3,62,5765,652
4,71,5933,730
5,48,5278,812
6,34,4472,725
7,46,3571,638
8,21,3101,532
9,17,2417,454
10,16,2014,400
11,14,1642,309
12,4,1375,256
13,8,1042,247
14,6,895,180
15,4,798,151
16,0,633,121
17,5,524,126
18,1,465,95
19,1,410,93
20,1,323,74
21,6,260,57
22,2,271,60
23,2,255,42
24,0,210,41
25,1,147,36
26,2,127,32
27,0,144,23
28,1,152,32
29,0,113,21
30,0,114,17
31,1,79,17
32,0,85,14
33,0,77,17
34,0,68,16
35,1,67,13
36,0,58,12
37,0,57,6
38,1,44,6
39,0,35,7
40,0,54,9
41,0,37,6
42,0,38,2
43,1,33,3
44,1,37,4
45,0,33,6
46,1,30,3
47,0,24,9
48,2,18,2
49,0,28,2
50,0,20,3
51,0,21,1
52,0,10,0
53,0,15,3
54,1,20,2
55,0,13,2
56,2,12,1
57,0,10,1
58,2,12,0
59,0,9,1
60,0,6,1
