"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,0,4586,312
2,20,10375,790
3,35,11740,1037
4,50,11206,1167
5,38,9712,1280
6,36,8000,1137
7,34,6486,997
8,36,5719,906
9,35,4584,769
10,30,3716,657
11,30,3218,573
12,27,2666,462
13,15,2137,428
14,22,1895,358
15,32,1832,290
16,25,1483,245
17,23,1205,225
18,14,1043,164
19,4,973,176
20,11,814,134
21,22,694,125
22,13,668,120
23,11,593,95
24,8,491,88
25,10,456,91
26,10,417,59
27,5,360,56
28,8,361,63
29,5,322,36
30,13,273,36
31,6,232,35
32,10,247,36
33,10,213,35
34,2,188,39
35,6,175,26
36,5,180,22
37,3,176,15
38,4,127,16
39,1,99,17
40,2,112,16
41,1,84,11
42,5,97,11
43,1,93,12
44,5,100,8
45,5,87,12
46,2,66,6
47,1,55,13
48,0,52,9
49,1,65,7
50,0,59,4
51,4,56,1
52,4,40,0
53,2,46,5
54,1,44,3
55,2,38,6
56,0,34,5
57,1,31,3
58,1,32,6
59,1,29,3
60,4,22,2
