"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,6,3948,267
2,36,8792,698
3,52,10075,954
4,61,9760,1091
5,32,8525,1198
6,39,7039,1079
7,60,5685,930
8,38,4947,842
9,27,3967,712
10,51,3216,597
11,34,2749,516
12,16,2236,410
13,25,1758,391
14,22,1555,320
15,12,1476,262
16,16,1162,221
17,18,957,200
18,14,854,142
19,6,749,150
20,10,626,116
21,10,553,107
22,9,526,106
23,4,479,80
24,7,399,79
25,2,338,74
26,1,312,47
27,8,282,47
28,9,286,50
29,2,247,33
30,5,216,29
31,6,184,30
32,6,186,28
33,2,151,28
34,4,142,31
35,3,134,23
36,4,133,18
37,3,139,14
38,5,96,14
39,3,79,15
40,1,92,14
41,2,69,11
42,1,74,7
43,2,72,11
44,3,70,8
45,4,68,10
46,1,51,4
47,1,49,13
48,0,37,8
49,2,49,7
50,2,45,4
51,2,45,1
52,5,24,0
53,4,33,4
54,0,35,3
55,2,28,6
56,1,26,3
57,1,22,2
58,4,27,3
59,3,23,2
60,0,13,2
