"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,5,4314,291
2,58,9715,748
3,66,11033,993
4,76,10582,1135
5,80,9147,1238
6,53,7551,1109
7,36,6106,966
8,47,5367,875
9,42,4295,744
10,46,3510,631
11,39,2985,540
12,40,2475,442
13,21,1961,417
14,22,1718,343
15,27,1659,279
16,18,1340,232
17,24,1084,211
18,17,945,156
19,17,865,166
20,11,724,126
21,6,633,117
22,16,602,115
23,16,547,87
24,11,454,84
25,12,400,84
26,14,374,54
27,13,322,53
28,2,319,56
29,7,282,34
30,3,250,35
31,9,213,32
32,7,227,31
33,5,178,33
34,5,169,35
35,3,152,26
36,7,159,21
37,6,157,14
38,4,116,15
39,5,89,15
40,2,104,14
41,2,76,10
42,3,86,8
43,8,80,11
44,6,87,8
45,3,78,11
46,4,58,5
47,2,50,14
48,2,45,8
49,3,58,7
50,3,51,4
51,1,50,1
52,2,31,0
53,3,38,4
54,3,39,3
55,1,36,5
56,1,29,4
57,1,28,3
58,1,30,4
59,0,25,2
60,0,19,2
