"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,2,3774,261
2,13,8440,683
3,55,9669,936
4,59,9403,1066
5,65,8243,1184
6,40,6815,1064
7,35,5501,911
8,27,4772,826
9,33,3835,696
10,30,3112,578
11,33,2638,509
12,30,2149,406
13,32,1678,379
14,16,1480,309
15,17,1403,255
16,25,1095,208
17,19,897,193
18,28,798,141
19,27,708,145
20,32,573,113
21,11,519,103
22,11,505,102
23,15,448,74
24,12,374,76
25,14,312,71
26,14,279,46
27,26,261,44
28,8,263,47
29,16,233,32
30,16,200,28
31,8,165,30
32,24,160,27
33,13,128,26
34,23,133,27
35,9,123,23
36,7,122,18
37,11,119,14
38,17,86,13
39,15,70,15
40,8,89,11
41,12,61,11
42,7,69,6
43,5,63,9
44,13,70,6
45,9,58,9
46,6,47,4
47,7,45,13
48,4,33,8
49,5,41,7
50,3,40,4
51,3,42,1
52,5,24,0
53,6,28,4
54,3,30,3
55,4,23,5
56,4,21,2
57,5,23,2
58,4,21,2
59,4,21,1
60,2,13,1
