"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,15,2291,187
2,99,5119,481
3,113,6314,686
4,139,6493,774
5,80,5759,853
6,75,4882,772
7,62,3873,680
8,46,3384,580
9,47,2631,485
10,48,2181,419
11,40,1788,340
12,20,1500,285
13,16,1123,267
14,14,965,207
15,22,870,168
16,14,678,128
17,9,551,131
18,18,511,100
19,7,439,97
20,5,355,78
21,12,283,61
22,8,294,64
23,8,271,45
24,12,223,47
25,8,170,41
26,3,144,33
27,4,158,24
28,3,162,33
29,5,118,21
30,0,123,18
31,2,90,19
32,2,90,14
33,1,90,19
34,2,72,18
35,1,71,14
36,0,62,13
37,2,62,6
38,3,47,6
39,5,37,8
40,0,56,10
41,1,39,6
42,0,42,2
43,2,34,3
44,0,40,5
45,2,36,6
46,0,34,3
47,0,25,9
48,1,20,2
49,0,29,2
50,1,23,3
51,2,22,1
52,0,10,0
53,1,15,3
54,1,23,2
55,0,14,2
56,3,12,1
57,0,10,1
58,0,13,1
59,0,12,1
60,0,6,1
