"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,14,2615,214
2,119,5870,555
3,167,7309,808
4,112,7470,948
5,72,6631,1044
6,107,5555,915
7,85,4481,800
8,84,3878,723
9,73,3070,593
10,71,2531,494
11,39,2098,416
12,48,1730,347
13,58,1340,323
14,43,1142,243
15,30,1057,205
16,33,796,163
17,26,644,157
18,18,588,118
19,20,505,126
20,24,420,91
21,18,365,77
22,17,355,80
23,27,320,61
24,24,265,58
25,12,204,53
26,10,182,37
27,6,186,30
28,10,185,40
29,8,143,27
30,11,143,22
31,15,113,24
32,4,107,19
33,5,93,23
34,13,91,21
35,6,78,16
36,4,74,17
37,8,75,8
38,5,59,9
39,7,43,10
40,2,64,11
41,4,42,7
42,2,45,4
43,9,42,4
44,3,51,6
45,6,38,6
46,3,38,3
47,2,31,10
48,3,22,2
49,3,32,3
50,3,27,3
51,4,26,1
52,4,12,0
53,2,21,3
54,2,23,2
55,4,16,2
56,1,15,1
57,1,13,1
58,3,15,1
59,1,15,1
60,3,11,1
