"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,3,2245,185
2,30,5030,474
3,73,6213,671
4,63,6397,758
5,54,5657,843
6,49,4806,762
7,23,3815,666
8,16,3329,568
9,26,2600,473
10,13,2150,410
11,15,1761,329
12,17,1477,276
13,17,1109,262
14,7,950,199
15,9,859,167
16,8,670,126
17,5,546,130
18,2,500,99
19,9,434,95
20,5,351,78
21,1,284,61
22,3,288,62
23,1,266,44
24,2,220,45
25,5,166,41
26,4,140,33
27,3,157,24
28,0,162,32
29,1,116,21
30,1,122,18
31,4,88,19
32,0,90,14
33,4,87,18
34,0,71,18
35,0,71,14
36,2,59,12
37,1,62,6
38,3,47,6
39,0,37,8
40,0,54,9
41,0,39,6
42,1,42,2
43,0,34,3
44,3,38,5
45,1,36,6
46,0,35,3
47,0,24,9
48,1,20,2
49,0,29,2
50,0,22,3
51,1,22,1
52,1,10,0
53,0,15,3
54,3,22,2
55,2,14,2
56,0,12,1
57,1,12,1
58,0,12,0
59,2,12,1
60,0,6,1
