"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,3,4524,306
2,49,10248,779
3,58,11582,1024
4,61,11064,1160
5,47,9580,1268
6,33,7897,1131
7,38,6394,989
8,46,5622,895
9,35,4509,764
10,25,3679,652
11,20,3162,567
12,33,2617,459
13,24,2091,425
14,15,1854,356
15,23,1794,286
16,18,1443,245
17,22,1177,221
18,12,1026,162
19,15,944,174
20,12,787,132
21,9,681,123
22,13,653,119
23,10,580,94
24,5,485,85
25,8,444,89
26,9,404,58
27,5,348,56
28,4,353,62
29,8,307,35
30,5,269,37
31,8,233,33
32,7,244,36
33,5,209,35
34,5,184,39
35,1,168,26
36,0,173,22
37,0,173,15
38,7,121,16
39,6,95,16
40,3,109,16
41,1,84,12
42,3,93,10
43,1,90,11
44,1,99,9
45,2,83,12
46,1,64,5
47,4,53,14
48,2,51,9
49,0,64,7
50,0,59,4
51,1,55,1
52,1,38,0
53,1,47,5
54,1,45,3
55,1,42,5
56,0,33,5
57,1,30,3
58,3,33,6
59,0,28,3
60,1,22,2
