"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,17,3684,252
2,87,8231,670
3,54,9450,924
4,110,9179,1050
5,97,8019,1166
6,109,6662,1050
7,84,5375,900
8,90,4648,815
9,49,3715,685
10,58,3028,570
11,74,2559,498
12,64,2079,398
13,77,1626,374
14,53,1420,299
15,54,1332,246
16,28,1037,200
17,29,855,189
18,34,763,137
19,39,671,142
20,32,532,107
21,29,479,100
22,27,483,101
23,15,422,73
24,15,356,71
25,20,297,70
26,23,263,44
27,14,247,39
28,13,248,46
29,11,212,32
30,8,189,28
31,5,156,30
32,9,151,24
33,7,118,25
34,12,125,25
35,7,110,22
36,9,113,18
37,7,114,14
38,9,86,13
39,8,62,15
40,3,80,11
41,5,53,11
42,7,63,5
43,1,60,9
44,5,65,6
45,4,53,8
46,3,45,4
47,3,43,13
48,2,31,8
49,2,39,5
50,3,42,4
51,2,39,1
52,3,18,0
53,7,29,4
54,5,30,2
55,0,22,5
56,3,20,2
57,6,21,1
58,0,20,2
59,1,19,1
60,4,12,1
