"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,4,4779,329
2,39,10809,819
3,64,12213,1064
4,81,11640,1194
5,76,10076,1309
6,50,8284,1161
7,36,6722,1021
8,49,5960,928
9,44,4797,791
10,37,3905,677
11,42,3382,582
12,47,2789,478
13,25,2260,439
14,23,1991,365
15,24,1948,303
16,21,1580,253
17,25,1290,228
18,17,1118,175
19,18,1032,185
20,11,869,142
21,7,741,129
22,10,716,120
23,4,630,102
24,11,522,91
25,3,488,92
26,9,451,62
27,7,387,60
28,5,384,67
29,8,336,38
30,9,292,37
31,4,240,41
32,4,264,37
33,8,233,39
34,1,200,41
35,2,190,28
36,5,199,25
37,7,189,16
38,5,137,17
39,5,109,20
40,5,131,19
41,2,96,12
42,4,108,11
43,1,97,15
44,4,105,9
45,2,94,12
46,4,69,8
47,2,62,14
48,0,55,9
49,1,69,8
50,2,63,4
51,0,61,2
52,3,43,0
53,3,47,5
54,3,50,4
55,0,42,6
56,0,36,5
57,0,35,3
58,3,35,6
59,1,32,3
60,1,26,3
