"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,4,2165,179
2,30,4852,468
3,40,5994,659
4,49,6162,745
5,35,5500,826
6,37,4645,740
7,12,3709,657
8,15,3217,551
9,16,2505,462
10,14,2079,408
11,14,1699,319
12,12,1427,266
13,12,1080,255
14,9,923,191
15,3,822,159
16,2,654,124
17,7,541,128
18,3,480,95
19,9,420,94
20,6,338,77
21,3,264,58
22,3,281,61
23,4,264,44
24,3,216,42
25,2,154,38
26,2,136,33
27,1,151,24
28,3,156,32
29,1,113,21
30,2,120,17
31,1,85,19
32,1,87,14
33,0,81,17
34,0,70,17
35,1,68,14
36,1,59,12
37,1,58,6
38,0,45,6
39,0,37,7
40,1,53,9
41,0,37,6
42,4,39,2
43,2,33,3
44,1,38,5
45,0,33,6
46,2,32,3
47,1,23,9
48,3,18,2
49,1,30,2
50,0,20,3
51,0,23,1
52,0,10,0
53,0,14,3
54,2,20,2
55,0,13,2
56,0,12,1
57,0,9,1
58,0,12,0
59,0,10,1
60,0,6,1
