"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,2,4663,320
2,18,10524,801
3,22,11882,1045
4,21,11343,1178
5,22,9843,1290
6,26,8109,1146
7,27,6585,1008
8,18,5830,918
9,22,4673,781
10,21,3806,670
11,10,3287,578
12,15,2699,469
13,13,2188,433
14,10,1942,361
15,15,1884,294
16,10,1528,250
17,11,1233,227
18,8,1079,170
19,3,1005,177
20,8,839,140
21,5,722,129
22,4,695,120
23,7,611,99
24,7,504,90
25,2,469,91
26,5,444,60
27,8,377,57
28,8,368,65
29,5,334,37
30,3,287,37
31,8,237,38
32,4,254,36
33,1,220,37
34,1,191,40
35,8,186,27
36,5,188,24
37,5,184,16
38,7,136,17
39,6,102,18
40,1,122,18
41,3,90,11
42,0,99,11
43,6,97,14
44,1,103,8
45,4,91,12
46,1,71,8
47,1,57,14
48,2,53,9
49,4,67,7
50,5,59,4
51,4,60,2
52,4,43,0
53,2,48,5
54,1,49,4
55,3,40,5
56,6,36,5
57,2,30,3
58,4,32,6
59,2,31,3
60,2,25,3
