"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,10,2163,179
2,41,4847,468
3,54,5987,659
4,44,6158,744
5,41,5498,826
6,15,4642,740
7,16,3711,657
8,18,3214,551
9,14,2504,462
10,16,2078,407
11,12,1698,318
12,12,1427,266
13,14,1075,255
14,3,923,191
15,2,823,159
16,7,654,124
17,5,540,128
18,7,480,95
19,7,420,94
20,4,336,77
21,4,265,58
22,4,282,61
23,3,264,44
24,2,214,42
25,2,154,38
26,1,137,33
27,4,150,24
28,1,155,32
29,2,114,21
30,2,119,17
31,2,84,19
32,0,87,14
33,0,82,17
34,1,69,17
35,1,69,14
36,1,58,12
37,0,58,6
38,0,45,6
39,1,37,7
40,0,53,9
41,4,37,6
42,2,39,2
43,1,33,3
44,0,38,5
45,2,33,6
46,1,32,3
47,3,23,9
48,1,19,2
49,0,29,2
50,0,21,3
51,0,22,1
52,0,10,0
53,2,14,3
54,0,20,2
55,0,13,2
56,0,12,1
57,0,10,1
58,0,11,0
59,0,10,1
60,0,7,1
