"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,11,1,222
2,39,2760,580
3,46,6165,833
4,70,7654,988
5,48,7810,1086
6,41,6920,960
7,44,5760,840
8,52,4673,750
9,38,4066,616
10,22,3238,512
11,32,2645,439
12,31,2221,365
13,24,1830,338
14,26,1406,260
15,20,1202,218
16,15,1120,170
17,13,852,169
18,23,699,123
19,14,626,130
20,9,543,93
21,15,439,86
22,10,389,85
23,5,376,62
24,12,340,62
25,10,284,59
26,7,230,38
27,6,207,33
28,7,203,41
29,7,208,27
30,2,166,23
31,2,159,24
32,5,132,20
33,5,121,23
34,7,106,22
35,5,102,19
36,8,84,16
37,0,84,8
38,5,80,9
39,5,67,11
40,4,49,11
41,1,68,7
42,4,40,4
43,3,50,5
44,4,45,6
45,2,51,6
46,4,40,3
47,3,41,12
48,3,35,4
49,7,25,3
50,9,32,4
51,4,30,1
52,3,27,0
53,2,13,3
54,3,23,2
55,3,25,3
56,1,19,1
57,2,18,1
58,0,14,2
59,2,15,1
60,6,14,1
NA,NA,9,NA
