"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,12,2299,188
2,41,5150,482
3,109,6359,685
4,110,6519,780
5,110,5777,853
6,96,4897,774
7,107,3891,687
8,73,3397,584
9,51,2640,486
10,53,2188,422
11,36,1797,341
12,38,1504,288
13,35,1123,267
14,32,967,207
15,19,875,169
16,13,678,128
17,12,552,133
18,21,510,100
19,16,442,98
20,8,356,78
21,16,283,61
22,5,297,65
23,7,275,45
24,11,225,47
25,6,170,41
26,8,145,33
27,10,160,25
28,7,163,33
29,1,117,21
30,4,124,18
31,2,91,19
32,5,91,14
33,0,89,19
34,2,73,18
35,2,71,14
36,1,64,13
37,1,62,6
38,1,47,6
39,0,37,8
40,1,56,10
41,3,39,6
42,4,42,2
43,0,35,3
44,1,40,5
45,0,35,6
46,2,33,3
47,0,25,9
48,2,21,2
49,0,29,2
50,0,22,3
51,2,22,1
52,0,10,0
53,1,16,3
54,2,22,2
55,0,14,2
56,1,12,1
57,1,11,1
58,0,12,1
59,3,12,1
60,0,6,1
