"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,12,3738,257
2,86,8359,678
3,70,9584,930
4,41,9301,1057
5,79,8132,1171
6,73,6757,1060
7,72,5440,907
8,75,4712,820
9,61,3773,691
10,36,3082,575
11,27,2602,498
12,39,2122,401
13,30,1650,378
14,38,1454,307
15,36,1370,254
16,51,1074,201
17,24,875,192
18,29,784,139
19,29,691,143
20,25,552,109
21,34,502,102
22,30,492,102
23,34,436,73
24,16,365,73
25,14,303,71
26,18,270,43
27,26,256,42
28,18,256,47
29,13,223,32
30,17,198,28
31,12,162,30
32,9,154,25
33,17,128,25
34,14,125,25
35,9,116,22
36,8,116,18
37,6,115,14
38,7,86,13
39,7,66,15
40,6,80,11
41,8,54,10
42,8,64,5
43,5,63,9
44,4,66,6
45,6,55,9
46,8,47,4
47,5,44,13
48,3,32,8
49,3,39,5
50,5,39,4
51,1,38,1
52,3,20,0
53,3,31,4
54,3,32,3
55,2,23,5
56,1,20,2
57,2,20,2
58,1,23,2
59,1,21,1
60,2,12,1
