"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,4,4157,282
2,20,9308,718
3,32,10584,976
4,34,10187,1113
5,35,8845,1225
6,20,7334,1090
7,21,5904,954
8,14,5189,861
9,16,4150,733
10,13,3377,617
11,13,2886,529
12,18,2372,427
13,9,1864,409
14,2,1647,338
15,13,1590,271
16,8,1260,228
17,8,1019,205
18,11,910,150
19,13,822,161
20,5,682,120
21,8,604,109
22,6,573,111
23,12,517,86
24,2,434,80
25,13,382,81
26,13,344,52
27,9,305,50
28,3,306,54
29,6,273,34
30,2,239,33
31,5,201,32
32,6,209,31
33,6,173,32
34,6,162,33
35,2,147,24
36,6,152,19
37,4,151,14
38,1,107,15
39,3,85,15
40,5,98,14
41,10,73,11
42,4,80,7
43,3,77,10
44,3,83,7
45,5,78,11
46,7,56,4
47,10,49,13
48,4,43,8
49,4,55,7
50,4,48,4
51,2,49,1
52,4,28,0
53,4,38,4
54,2,37,3
55,2,30,6
56,1,26,3
57,2,26,2
58,8,29,4
59,3,23,2
60,2,18,2
