"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,6,1,222
2,43,2814,584
3,57,6286,835
4,75,7736,991
5,76,7867,1086
6,42,6970,964
7,46,5797,842
8,33,4697,752
9,23,4093,621
10,31,3264,517
11,20,2664,443
12,23,2236,369
13,19,1840,342
14,20,1424,262
15,14,1218,221
16,7,1130,176
17,17,863,170
18,7,710,126
19,15,629,132
20,11,550,93
21,12,450,86
22,10,393,89
23,2,384,62
24,12,343,63
25,6,286,61
26,6,235,39
27,8,208,33
28,4,208,41
29,3,207,27
30,7,167,24
31,4,161,24
32,1,134,20
33,5,122,23
34,4,108,22
35,6,102,19
36,2,92,16
37,2,87,8
38,5,81,9
39,4,68,11
40,4,51,11
41,4,69,8
42,6,41,4
43,1,52,5
44,4,48,6
45,3,51,6
46,3,40,3
47,2,40,12
48,3,36,4
49,2,25,3
50,3,31,4
51,2,33,1
52,3,27,0
53,2,15,3
54,2,23,2
55,7,25,3
56,8,20,1
57,4,18,1
58,3,14,2
59,2,16,1
60,3,15,1
NA,NA,9,NA
