"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,7,3780,262
2,42,8465,683
3,40,9703,936
4,38,9420,1069
5,33,8259,1187
6,49,6826,1065
7,39,5509,912
8,46,4781,827
9,26,3849,697
10,22,3116,580
11,20,2650,508
12,23,2157,405
13,23,1677,381
14,26,1484,309
15,26,1404,255
16,22,1104,209
17,16,897,195
18,15,803,142
19,17,711,145
20,17,575,113
21,24,520,103
22,22,506,102
23,27,447,74
24,9,379,75
25,10,317,71
26,13,285,46
27,10,260,43
28,15,267,47
29,13,232,32
30,23,200,28
31,8,167,30
32,16,160,27
33,13,132,26
34,8,131,28
35,21,124,23
36,13,122,18
37,21,123,14
38,9,84,13
39,7,71,15
40,11,87,11
41,16,62,10
42,14,69,6
43,8,65,9
44,10,69,7
45,7,60,9
46,4,48,4
47,12,50,13
48,9,32,8
49,6,40,7
50,7,41,4
51,4,42,1
52,5,22,0
53,3,28,4
54,3,30,3
55,4,23,6
56,6,21,2
57,2,20,2
58,4,21,2
59,4,20,1
60,5,16,1
