"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,6,4186,283
2,15,9378,724
3,26,10653,980
4,29,10236,1115
5,23,8898,1230
6,19,7366,1098
7,18,5946,959
8,25,5226,862
9,21,4181,735
10,10,3399,619
11,13,2908,533
12,9,2391,431
13,8,1881,409
14,10,1657,341
15,9,1599,271
16,4,1277,227
17,4,1031,208
18,6,916,152
19,7,827,162
20,4,689,122
21,5,612,109
22,9,581,111
23,4,528,87
24,4,441,81
25,4,386,83
26,5,355,52
27,2,311,50
28,1,310,55
29,4,276,34
30,3,244,34
31,2,205,32
32,3,211,31
33,4,172,33
34,2,161,33
35,4,148,24
36,4,152,20
37,2,152,14
38,1,110,15
39,5,86,15
40,5,97,14
41,2,72,10
42,6,82,8
43,4,76,11
44,5,86,7
45,2,78,11
46,3,57,4
47,0,49,13
48,3,44,8
49,5,58,7
50,3,49,4
51,2,50,1
52,0,29,0
53,5,39,4
54,3,39,3
55,0,30,6
56,3,26,3
57,4,26,2
58,6,30,4
59,4,23,2
60,3,20,2
