"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,20,3066,225
2,130,6784,600
3,123,8114,854
4,71,8136,1003
5,104,7151,1106
6,76,5932,976
7,65,4824,852
8,71,4168,763
9,55,3328,634
10,49,2721,527
11,36,2272,453
12,35,1877,374
13,23,1458,343
14,32,1245,264
15,27,1158,225
16,27,887,181
17,13,727,172
18,14,643,129
19,24,563,134
20,17,462,93
21,13,401,90
22,14,391,89
23,15,351,62
24,6,295,66
25,12,242,62
26,11,211,40
27,11,216,36
28,10,220,43
29,9,171,27
30,10,163,24
31,6,130,24
32,3,132,22
33,5,106,24
34,2,108,23
35,9,92,21
36,9,89,16
37,5,92,8
38,3,71,10
39,0,54,11
40,6,72,11
41,2,46,9
42,3,56,4
43,4,52,6
44,4,55,5
45,0,41,6
46,3,41,3
47,1,38,13
48,1,27,7
49,2,33,3
50,1,35,4
51,4,32,1
52,1,15,0
53,2,24,4
54,4,26,2
55,1,21,3
56,3,20,1
57,4,15,1
58,4,18,2
59,0,15,1
60,3,9,1
